title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems,keywords
Indian homegrown Covid-19 shot wins WHO emergency use approval,Story by Reuters,CNN,"The World Health Organization (WHO) said on Wednesday that it has granted approval for Indian drugmaker Bharat Biotech's home-grown Covid-19 vaccine for emergency use listing, paving the way for it to be accepted as a valid vaccine in many poor countries.","The World Health Organization (WHO) said on Wednesday that it has granted approval for Indian drugmaker Bharat Biotech's home-grown Covid-19 vaccine for emergency use listing, paving the way for it t… [+3790 chars]",2021-11-04,https://www.cnn.com/2021/11/03/asia/india-covaxin-who-approval-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211103212555-covaxin-file-0929-super-tease.jpg,indian homegrown covid  shot wins who emergency use approval the world health organization who said on wednesday that it has granted approval for indian drugmaker bharat biotech is home grown covid  vaccine for emergency use listing paving the way for it t  chars,"['indian', 'homegrown', 'covid', 'shot', 'wins', 'emergency', 'use', 'approval', 'world', 'health', 'organization', 'said', 'wednesday', 'granted', 'approval', 'indian', 'drugmaker', 'bharat', 'biotech', 'home', 'grown', 'covid', 'vaccine', 'emergency', 'use', 'listing', 'paving', 'way', 'chars']",indian homegrown covid shot win emergency use approval world health organization said wednesday granted drugmaker bharat biotech home grown vaccine listing paving way char,"['indian', 'homegrown', 'covid', 'shot', 'wins', 'emergency', 'use', 'approval', 'world', 'health', 'organization', 'said', 'wednesday', 'granted', 'drugmaker', 'bharat', 'biotech', 'home', 'grown', 'vaccine', 'listing', 'paving', 'way', 'chars']"
"Even if they get breakthrough infections, vaccinated people don't get as sick with Covid-19, studies show","Maggie Fox, CNN",CNN,"Even if they get a breakthrough infection, vaccinated people don't get as sick with Covid-19, two different teams of researchers reported Thursday.","(CNN)Even if they get a breakthrough infection, vaccinated people don't get as sick with Covid-19, two different teams of researchers reported Thursday.
Both studies show the vaccines strongly prote… [+4776 chars]",2021-11-05,https://www.cnn.com/2021/11/04/health/vaccines-covid-breakthrough-studies-wellness/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211104215247-covid-vaccine-clinic-pa-1025-restricted-super-tease.jpg,even if they get breakthrough infections vaccinated people do not get as sick with covid  studies show cnn even if they get a breakthrough infection vaccinated people do not get as sick with covid  two different teams of researchers reported thursday both studies show the vaccines strongly prote  chars,"['even', 'get', 'breakthrough', 'infections', 'vaccinated', 'people', 'get', 'sick', 'covid', 'studies', 'show', 'cnn', 'even', 'get', 'breakthrough', 'infection', 'vaccinated', 'people', 'get', 'sick', 'covid', 'two', 'different', 'teams', 'researchers', 'reported', 'thursday', 'studies', 'show', 'vaccines', 'strongly', 'prote', 'chars']",even get breakthrough infection vaccinated people sick covid study show cnn infection two different team researcher reported thursday vaccine strongly prote char,"['even', 'get', 'breakthrough', 'infections', 'vaccinated', 'people', 'sick', 'covid', 'studies', 'show', 'cnn', 'infection', 'two', 'different', 'teams', 'researchers', 'reported', 'thursday', 'vaccines', 'strongly', 'prote', 'chars']"
How to prepare for another winter of Covid-19? An expert weights in,"Katia Hetter, CNN",CNN,CNN Medical Analyst Dr. Leana Wen shares what vaccines you should get as well as other tips to safe safe from Covid-19 in the coming months.,"(CNN)Winter is almost here. After weeks of steady decline, Covid-19 cases appear to be on the rise again. 
Is a surge inevitable? How should families think about the winter ahead? What can they do t… [+5544 chars]",2021-11-18,https://www.cnn.com/2021/11/18/health/winter-covid-precautions-dr-wen-wellness/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211117153202-winter-covid-precautions-file-2020-new-york-restricted-super-tease.jpg,how to prepare for another winter of covid  an expert weights in cnn winter is almost here after weeks of steady decline covid  cases appear to be on the rise again is a surge inevitable how should families think about the winter ahead what can they do t  chars,"['prepare', 'another', 'winter', 'covid', 'expert', 'weights', 'cnn', 'winter', 'almost', 'weeks', 'steady', 'decline', 'covid', 'cases', 'appear', 'rise', 'surge', 'inevitable', 'families', 'think', 'winter', 'ahead', 'chars']",prepare another winter covid expert weight cnn almost week steady decline case appear rise surge inevitable family think ahead char,"['prepare', 'another', 'winter', 'covid', 'expert', 'weights', 'cnn', 'almost', 'weeks', 'steady', 'decline', 'cases', 'appear', 'rise', 'surge', 'inevitable', 'families', 'think', 'ahead', 'chars']"
Fired Washington State head football coach to file lawsuit over 'unjust and unlawful' termination,"Wayne Sterling, CNN",CNN,"Former Washington State Cougars football coach Nick Rolovich plans to take legal action against the university following his firing on Monday for failing to comply with the state's Covid-19 vaccine mandate, his attorney told CNN on Wednesday.",(CNN)Former Washington State Cougars football coach Nick Rolovich plans to take legal action against the university following his firing on Monday for failing to comply with the state's Covid-19 vacc… [+1969 chars],2021-10-20,https://www.cnn.com/2021/10/20/sport/rolovich-washington-state-coach-firing-lawsuit/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211018210722-01-nick-rolovich-1016-super-tease.jpg,fired washington state head football coach to file lawsuit over unjust and unlawful termination cnn former washington state cougars football coach nick rolovich plans to take legal action against the university following his firing on monday for failing to comply with the state is covid  vacc  chars,"['fired', 'state', 'head', 'football', 'coach', 'file', 'lawsuit', 'unjust', 'unlawful', 'termination', 'cnn', 'former', 'state', 'cougars', 'football', 'coach', 'nick', 'rolovich', 'plans', 'take', 'legal', 'action', 'university', 'following', 'firing', 'monday', 'failing', 'comply', 'state', 'covid', 'vacc', 'chars']",fired state head football coach file lawsuit unjust unlawful termination cnn former cougar nick rolovich plan take legal action university following firing monday failing comply covid vacc char,"['fired', 'state', 'head', 'football', 'coach', 'file', 'lawsuit', 'unjust', 'unlawful', 'termination', 'cnn', 'former', 'cougars', 'nick', 'rolovich', 'plans', 'take', 'legal', 'action', 'university', 'following', 'firing', 'monday', 'failing', 'comply', 'covid', 'vacc', 'chars']"
Biden administration plans to announce purchase of Pfizer's experimental Covid-19 antiviral pill,"Kaitlan Collins, CNN",CNN,"The Biden administration plans to purchase 10 million doses of Pfizer's experimental antiviral Covid-19 pill and is finalizing the contract now, according to a source familiar with the plans.","(CNN)The Biden administration plans to purchase 10 million doses of Pfizer's experimental antiviral Covid-19 pill and is finalizing the contract now, according to a source familiar with the plans. 
… [+283 chars]",2021-11-16,https://www.cnn.com/2021/11/16/politics/pfizer-covid-antiviral-pill-biden-administration-purchase/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211105104505-04-joe-biden-1101-super-tease.jpg,biden administration plans to announce purchase of pfizer is experimental covid  antiviral pill cnn the biden administration plans to purchase  million doses of pfizer is experimental antiviral covid  pill and is finalizing the contract now according to a source familiar with the plans  chars,"['biden', 'administration', 'plans', 'announce', 'purchase', 'pfizer', 'experimental', 'covid', 'antiviral', 'pill', 'cnn', 'biden', 'administration', 'plans', 'purchase', 'million', 'doses', 'pfizer', 'experimental', 'antiviral', 'covid', 'pill', 'finalizing', 'contract', 'according', 'source', 'familiar', 'plans', 'chars']",biden administration plan announce purchase pfizer experimental covid antiviral pill cnn million dos finalizing contract according source familiar char,"['biden', 'administration', 'plans', 'announce', 'purchase', 'pfizer', 'experimental', 'covid', 'antiviral', 'pill', 'cnn', 'million', 'doses', 'finalizing', 'contract', 'according', 'source', 'familiar', 'chars']"
More people are getting boosters than new Covid-19 vaccinations. And others could soon become eligible for an additional shot,"Madeline Holcombe, CNN",CNN,People looking to boost their Covid-19 vaccinations have surpassed the number of people looking to begin them and the additional doses may soon be made available to a greater proportion of the US.,(CNN)People looking to boost their Covid-19 vaccinations have surpassed the number of people looking to begin them and the additional doses may soon be made available to a greater proportion of the U… [+6721 chars],2021-10-21,https://www.cnn.com/2021/10/21/health/us-coronavirus-thursday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211021004748-02-vaccine-booster-mi-0929-super-tease.jpg,more people are getting boosters than new covid  vaccinations and others could soon become eligible for an additional shot cnn people looking to boost their covid  vaccinations have surpassed the number of people looking to begin them and the additional doses may soon be made available to a greater proportion of the u  chars,"['people', 'getting', 'boosters', 'new', 'covid', 'vaccinations', 'others', 'could', 'soon', 'become', 'eligible', 'additional', 'shot', 'cnn', 'people', 'looking', 'boost', 'covid', 'vaccinations', 'surpassed', 'number', 'people', 'looking', 'begin', 'additional', 'doses', 'may', 'soon', 'made', 'available', 'greater', 'proportion', 'chars']",people getting booster new covid vaccination others could soon become eligible additional shot cnn looking boost surpassed number begin dos may made available greater proportion char,"['people', 'getting', 'boosters', 'new', 'covid', 'vaccinations', 'others', 'could', 'soon', 'become', 'eligible', 'additional', 'shot', 'cnn', 'looking', 'boost', 'surpassed', 'number', 'begin', 'doses', 'may', 'made', 'available', 'greater', 'proportion', 'chars']"
UK authorizes Merck and Ridgeback Biotherapeutics' antiviral pill to treat Covid-19,"Jamie Gumbrecht, CNN",CNN,"The UK Medicines and Healthcare Products Regulatory Agency said Thursday it had authorized Merck and Ridgeback Biotherapeutics' oral antiviral, molnupiravir, to treat mild-to-moderate Covid-19 in adults at risk for severe illness.","(CNN)The UK Medicines and Healthcare Products Regulatory Agency said Thursday it had authorized Merck and Ridgeback Biotherapeutics' oral antiviral, molnupiravir, to treat mild-to-moderate Covid-19 i… [+2876 chars]",2021-11-04,https://www.cnn.com/2021/11/04/health/uk-authorizes-merck-antiviral-molnupiravir-covid/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211015201454-01-covid-molnupiravir-super-tease.jpg,uk authorizes merck and ridgeback biotherapeutics antiviral pill to treat covid  cnn the uk medicines and healthcare products regulatory agency said thursday it had authorized merck and ridgeback biotherapeutics oral antiviral molnupiravir to treat mild to moderate covid  i  chars,"['uk', 'authorizes', 'merck', 'ridgeback', 'biotherapeutics', 'antiviral', 'pill', 'treat', 'covid', 'cnn', 'uk', 'medicines', 'healthcare', 'products', 'regulatory', 'agency', 'said', 'thursday', 'authorized', 'merck', 'ridgeback', 'biotherapeutics', 'oral', 'antiviral', 'molnupiravir', 'treat', 'mild', 'moderate', 'covid', 'chars']",uk authorizes merck ridgeback biotherapeutics antiviral pill treat covid cnn medicine healthcare product regulatory agency said thursday authorized oral molnupiravir mild moderate char,"['uk', 'authorizes', 'merck', 'ridgeback', 'biotherapeutics', 'antiviral', 'pill', 'treat', 'covid', 'cnn', 'medicines', 'healthcare', 'products', 'regulatory', 'agency', 'said', 'thursday', 'authorized', 'oral', 'molnupiravir', 'mild', 'moderate', 'chars']"
Colorado announces vaccine mandate for certain indoor events as Mountain West states grapple with Covid surge,"Travis Caldwell and Joe Sutton, CNN",CNN,"With hospitals throughout Colorado facing increases in Covid-19 hospitalizations, state officials announced that attendees of large public indoor events in certain jurisdictions must be vaccinated in order to help curb the virus' spread.","(CNN)With hospitals throughout Colorado facing increases in Covid-19 hospitalizations, state officials announced that attendees of large public indoor events in certain jurisdictions must be vaccinat… [+4454 chars]",2021-11-15,https://www.cnn.com/2021/11/15/us/colorado-covid-surge-vaccine/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211114221042-pfizer-vaccine-1103-colorado-super-tease.jpg,colorado announces vaccine mandate for certain indoor events as mountain west states grapple with covid surge cnn with hospitals throughout colorado facing increases in covid  hospitalizations state officials announced that attendees of large public indoor events in certain jurisdictions must be vaccinat  chars,"['colorado', 'announces', 'vaccine', 'mandate', 'certain', 'indoor', 'events', 'mountain', 'west', 'states', 'grapple', 'covid', 'surge', 'cnn', 'hospitals', 'throughout', 'colorado', 'facing', 'increases', 'covid', 'hospitalizations', 'state', 'officials', 'announced', 'attendees', 'large', 'public', 'indoor', 'events', 'certain', 'jurisdictions', 'must', 'vaccinat', 'chars']",colorado announces vaccine mandate certain indoor event mountain west state grapple covid surge cnn hospital throughout facing increase hospitalization state official announced attendee large public jurisdiction must vaccinat char,"['colorado', 'announces', 'vaccine', 'mandate', 'certain', 'indoor', 'events', 'mountain', 'west', 'states', 'grapple', 'covid', 'surge', 'cnn', 'hospitals', 'throughout', 'facing', 'increases', 'hospitalizations', 'state', 'officials', 'announced', 'attendees', 'large', 'public', 'jurisdictions', 'must', 'vaccinat', 'chars']"
What will a Covid-19 vaccine for younger kids mean? An expert weighs in,"Katia Hetter, CNN",CNN,"""Can I have a sleepover now?"" ""Do I still need to wear a mask?"" ""Will I get sick after I get the shot?"" CNN Medical Analyst Dr. Leana Wen explains what children ages 5 to 11 will be able to do once they are vaccinated.",(CNN)A US Food and Drug Administration advisory committee recommended Tuesday that the agency grant emergency use authorization for the Pfizer-BioNTech Covid-19 vaccine for children ages 5 to 11.Next… [+8024 chars],2021-10-27,https://www.cnn.com/2021/10/27/health/kids-five-to-eleven-covid-vaccine-wellness/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210805162057-02-children-covid-mask-stock-super-tease.jpg,what will a covid  vaccine for younger kids mean an expert weighs in cnn a us food and drug administration advisory committee recommended tuesday that the agency grant emergency use authorization for the pfizer biontech covid  vaccine for children ages  to  next  chars,"['covid', 'vaccine', 'younger', 'kids', 'mean', 'expert', 'weighs', 'cnn', 'us', 'food', 'drug', 'administration', 'advisory', 'committee', 'recommended', 'tuesday', 'agency', 'grant', 'emergency', 'use', 'authorization', 'pfizer', 'biontech', 'covid', 'vaccine', 'children', 'ages', 'next', 'chars']",covid vaccine younger kid mean expert weighs cnn u food drug administration advisory committee recommended tuesday agency grant emergency use authorization pfizer biontech child age next char,"['covid', 'vaccine', 'younger', 'kids', 'mean', 'expert', 'weighs', 'cnn', 'us', 'food', 'drug', 'administration', 'advisory', 'committee', 'recommended', 'tuesday', 'agency', 'grant', 'emergency', 'use', 'authorization', 'pfizer', 'biontech', 'children', 'ages', 'next', 'chars']"
"Christmas tradition keeps going for man who survived Covid, two strokes and a heart attack","David Williams, CNN",CNN,"Dale and Julie Marks and their neighbors go all out with their Christmas decorations every year and people come from all over the Des Moines, Iowa, area to see their homes covered in festive lights and holiday displays.","(CNN)Dale and Julie Marks and their neighbors go all out with their Christmas decorations every year and people come from all over the Des Moines, Iowa, area to see their homes covered in festive lig… [+3201 chars]",2021-11-17,https://www.cnn.com/2021/11/17/us/coronavirus-christmas-lights-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211117114401-02-covid-iowa-christmas-lights-super-tease.jpg,christmas tradition keeps going for man who survived covid two strokes and a heart attack cnn dale and julie marks and their neighbors go all out with their christmas decorations every year and people come from all over the des moines iowa area to see their homes covered in festive lig  chars,"['christmas', 'tradition', 'keeps', 'going', 'man', 'survived', 'covid', 'two', 'strokes', 'heart', 'attack', 'cnn', 'dale', 'julie', 'marks', 'neighbors', 'go', 'christmas', 'decorations', 'every', 'year', 'people', 'come', 'des', 'moines', 'iowa', 'area', 'see', 'homes', 'covered', 'festive', 'lig', 'chars']",christmas tradition keep going man survived covid two stroke heart attack cnn dale julie mark neighbor go decoration every year people come de moines iowa area see home covered festive lig char,"['christmas', 'tradition', 'keeps', 'going', 'man', 'survived', 'covid', 'two', 'strokes', 'heart', 'attack', 'cnn', 'dale', 'julie', 'marks', 'neighbors', 'go', 'decorations', 'every', 'year', 'people', 'come', 'des', 'moines', 'iowa', 'area', 'see', 'homes', 'covered', 'festive', 'lig', 'chars']"
